iter	Passed	Remaining
0	194	194519
1	198	98845
2	201	66820
3	203	50735
4	206	41129
5	209	34760
6	213	30221
7	216	26811
8	219	24118
9	222	22030
10	225	20274
11	228	18841
12	231	17600
13	236	16645
14	239	15746
15	242	14917
16	245	14186
17	249	13591
18	251	13007
19	254	12485
20	257	12010
21	260	11578
22	263	11208
23	266	10845
24	269	10509
25	272	10198
26	275	9925
27	278	9659
28	281	9414
29	283	9180
30	286	8962
31	288	8733
32	290	8518
33	292	8316
34	294	8124
35	296	7931
36	297	7749
37	299	7575
38	300	7415
39	302	7256
40	303	7101
41	304	6951
42	306	6811
43	307	6674
44	308	6545
45	309	6422
46	310	6300
47	311	6184
48	312	6072
49	314	5966
50	315	5862
51	316	5762
52	317	5666
53	318	5571
54	318	5480
55	319	5390
56	320	5303
57	321	5221
58	322	5142
59	323	5064
60	324	4990
61	325	4918
62	325	4848
63	326	4778
64	327	4712
65	328	4649
66	329	4585
67	329	4518
68	330	4458
69	331	4399
70	331	4342
71	332	4287
72	333	4232
73	334	4179
74	334	4127
75	335	4076
76	335	4027
77	336	3979
78	337	3932
79	337	3886
80	338	3841
81	339	3797
82	339	3754
83	340	3713
84	340	3670
85	341	3631
86	342	3590
87	342	3553
88	343	3516
89	344	3479
90	344	3444
91	345	3410
92	346	3375
93	346	3344
94	347	3310
95	348	3279
96	348	3248
97	349	3217
98	350	3187
99	350	3158
100	351	3129
101	352	3099
102	352	3071
103	353	3044
104	354	3018
105	354	2991
106	355	2967
107	356	2942
108	356	2917
109	357	2894
110	358	2869
111	358	2846
112	359	2822
113	360	2799
114	360	2777
115	361	2755
116	362	2734
117	363	2713
118	363	2691
119	364	2671
120	364	2651
121	365	2630
122	365	2609
123	366	2590
124	367	2570
125	367	2552
126	368	2535
127	369	2515
128	370	2498
129	370	2480
130	371	2463
131	372	2447
132	372	2429
133	373	2413
134	374	2397
135	374	2380
136	375	2365
137	376	2348
138	376	2333
139	377	2318
140	378	2303
141	378	2288
142	379	2274
143	380	2259
144	380	2245
145	381	2231
146	382	2218
147	383	2205
148	383	2192
149	384	2179
